"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"CT:AT","AcuityAds Holdings Inc","AT","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA00510L1067","","493,864,256","CAD","Analyze"
"CT:CFX","Canfor Pulp Products Inc","CFX","07/06/2006","Global Equity","Common stocks","Developed markets ex-US","Materials","CA1375842079","B63XT22","482,076,288","CAD","Analyze"
"CT:WM","Wallbridge Mining Company Ltd","WM","07/25/2000","Global Equity","Common stocks","Developed markets ex-US","Materials","CA9323971023","2614324","480,074,112","CAD","Analyze"
"CT:MRD","Melcor Developments Ltd","MRD","04/25/1996","Global Equity","Common stocks","Developed markets ex-US","Real Estate","CA5854671032","2576071","479,465,696","CAD","Analyze"
"CT:SMT","Sierra Metals Inc","SMT","10/04/1996","Global Equity","Common stocks","Developed markets ex-US","Materials","CA82639W1068","","473,860,000","CAD","Analyze"
"CT:FC","Firm Capital Mortgage Investment Corporation","FC","10/08/2003","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA3183231024","B63WCJ7","468,172,416","CAD","Analyze"
"CT:AIM","Aimia Inc","AIM","06/23/2005","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA00900Q1037","B84YZ75","467,990,272","CAD","Analyze"
"CT:PLZ-UN","PLAZA RETAIL REIT UNITS","PLZ-UN","12/31/1999","Global Equity","Common stocks","Developed markets ex-US","Real Estate","CA72820F1036","BHZFZF8","465,171,168","CAD","Analyze"
"CT:AOT","Ascot Resources Ltd.","AOT","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA04364G1063","","462,081,472","CAD","Analyze"
"CT:EXF","Exfo Inc","EXF","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA3020461073","","448,500,256","CAD","Analyze"
"CT:HLF","High Liner Foods Incorporated","HLF","01/29/1999","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","CA4296951094","2626965","444,706,784","CAD","Analyze"
"CT:MOGO","Mogo Finance Technology Inc.","MOGO","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA60800C1095","","443,362,528","CAD","Analyze"
"CT:AD","Alaris Royalty Corp","AD","10/29/2009","Global Equity","Common stocks","Developed markets ex-US","Financials","CA01163Q4007","B95JCB9","436,614,464","CAD","Analyze"
"CT:POM","PolyMet Mining","POM","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Materials","CA7319164090","","428,727,264","CAD","Analyze"
"CT:TH","Theratechnologies Inc","TH","12/31/1999","Global Equity","Common stocks","Developed markets ex-US","Health Care","CA88338H1001","2889906","409,974,080","CAD","Analyze"
"CT:GSC","Golden Star Resources Ltd","GSC","01/12/1995","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA38119T8077","","407,352,000","CAD","Analyze"
"CT:CMG","Computer Modelling Group Ltd","CMG","03/31/1997","Global Equity","Common stocks","Developed markets ex-US","Energy","CA2052491057","2223355","405,380,992","CAD","Analyze"
"CT:KBL","K-Bro Linen Inc","KBL","02/03/2005","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA48243M1077","B6624T8","405,134,976","CAD","Analyze"
"CT:GTE","Gran Tierra Energy Inc","GTE","02/19/2008","Global Equity","Common stocks","Developed markets ex-US","Energy","US38500T1016","B2PPCS5","400,021,280","CAD","Analyze"
"CT:SCL","Shawcor Ltd","SCL","11/08/2004","Global Equity","Common stocks","Developed markets ex-US","Energy","CA8204391079","B9M2YJ3","393,269,472","CAD","Analyze"
"CT:XTC","Exco Technologies Limited","XTC","04/25/1996","Global Equity","Common stocks","Developed markets ex-US","Industrials","CA30150P1099","2325392","391,134,176","CAD","Analyze"
"CT:PRN","Profound Medical Corp.","PRN","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA74319B5027","","385,106,624","CAD","Analyze"
"CT:U","Uranium Participation Corporation","U","05/09/2006","Global Equity","Common stocks","Developed markets ex-US","Financials","CA9170171057","B085ST1","384,325,632","CAD","Analyze"
"CT:SGY","Surge Energy Inc","SGY","09/09/1998","Global Equity","Common stocks","Developed markets ex-US","Energy","CA86880Y1097","2290597","380,912,000","CAD","Analyze"
"CT:HNL","Horizon North Logistics Inc","HNL","07/25/2006","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA44044D2068","B16TCX4","371,052,960","CAD","Analyze"
"CT:PZA","Pizza Pizza Royalty Corp","PZA","07/06/2005","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA72585V1031","B8FP6T6","365,212,352","CAD","Analyze"
"CT:MRT-UN","MORGUARD REAL ESTATE INVESTMENT TR","MRT-UN","06/09/2000","Global Equity","Common stocks","Developed markets ex-US","Real Estate","CA6179141065","2121448","364,318,592","CAD","Analyze"
"CT:ESI","Ensign Energy Services Inc","ESI","04/25/1996","Global Equity","Common stocks","Developed markets ex-US","Energy","CA2935701078","2317623","363,563,168","CAD","Analyze"
"CT:OBE","Obsidian Energy Ltd","OBE","12/31/1999","Global Equity","Common stocks","Developed markets ex-US","Energy","CA6744821043","BDHLTZ4","360,790,976","CAD","Analyze"
"CT:CRH","CRH Medical Corporation","CRH","07/07/2003","Global Equity","Common stocks","Developed markets ex-US","Health Care","CA12626F1053","2900205","357,385,792","CAD","Analyze"
"CT:SOT-UN","SLATE OFFICE REAL ESTATE INVESTMEN","SOT-UN","06/30/2006","Global Equity","Common stocks","Developed markets ex-US","Real Estate","CA8310211005","BWCHKM4","355,768,352","CAD","Analyze"
"CT:AKG","Asanko Gold Inc","AKG","01/31/2005","Global Equity","Common stocks","Developed markets ex-US","Materials","CA04341Y1051","B7Y5P59","353,305,600","CAD","Analyze"
"CT:AUG","Auryn Resources Inc.","AUG","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","","","347,589,984","CAD","Analyze"
"CT:DRT","DIRTT Environmental Solutions Ltd","DRT","11/28/2013","Global Equity","Common stocks","Developed markets ex-US","Industrials","CA25490H1064","BH13VJ2","345,748,416","CAD","Analyze"
"CT:AXU","Alexco Resource Corp","AXU","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA01535P1062","","330,488,544","CAD","Analyze"
"CT:OPS","Opsens Inc.","OPS","01/01/1900","Global Equity","Common stocks","Emerging markets","Unknown","CA6838231083","","325,788,800","CAD","Analyze"
"CT:QTRH","Quarterhill Inc","QTRH","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA7477131055","","325,322,144","CAD","Analyze"
"CT:ATP","Atlantic Power Corporation","ATP","11/18/2004","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA04878Q8636","B046P42","324,170,048","CAD","Analyze"
"CT:GUY","Guyana Goldfields Inc","GUY","01/06/2004","Global Equity","Common stocks","Developed markets ex-US","Materials","CA4035301080","B07J7D1","321,197,760","CAD","Analyze"
"CT:CWEB","Charlottes Web Hldgs Inc","CWEB","05/31/2019","Global Equity","Common stocks","Developed markets ex-US","Health Care","CA16106R1091","BGHY2B1","313,642,528","CAD","Analyze"
"CT:WRN","Western Copper And Gold Corporation","WRN","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA95805V1085","","311,692,320","CAD","Analyze"
"CT:BPF-UN","Boston Pizza TU","BPF-UN","07/17/2002","Global Equity","Common stocks","Developed markets ex-US","Unknown","","2968441","307,757,440","CAD","Analyze"
"CT:DR","Medical Facilities Corporation","DR","11/27/2006","Global Equity","Common stocks","Developed markets ex-US","Health Care","CA58457V5036","B4NPRQ4","302,664,288","CAD","Analyze"
"CT:ALYA","Alithya Group Inc. - Class A","ALYA","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA01643B1067","","298,606,016","CAD","Analyze"
"CT:CLIQ","Alcanna Rg","CLIQ","09/28/2004","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA01374C1095","BD05NY0","290,936,832","CAD","Analyze"
"CT:NDM","Northern Dynasty Minerals Ltd","NDM","08/08/1996","Global Equity","Common stocks","Developed markets ex-US","Materials","CA66510M2040","2637848","290,690,944","CAD","Analyze"
"CT:LUC","Lucara Diamond Corp","LUC","02/22/2018","Global Equity","Common stocks","Developed markets ex-US","Materials","CA54928Q1081","2862565","289,942,400","CAD","Analyze"
"CT:TMR","Tmac Resources Inc","TMR","07/07/2015","Global Equity","Common stocks","Developed markets ex-US","Materials","CA8725771015","BYT0622","286,607,200","CAD","Analyze"
