,name_0,name_1,Search Amount
3897,"""Charles J. G. Brindamour""","""Luc Mongeau""",0
3898,"""Charles J. G. Brindamour""","""Michael J. Cooper""",4
3899,"""Charles J. G. Brindamour""","""Steven R. Spaulding""",1
3900,"""Charles J. G. Brindamour""","""Navjeet Singh Dhillon""",0
3901,"""Charles J. G. Brindamour""","""Laurent Ferreira""",2
3902,"""Charles J. G. Brindamour""","""Photis Peter Pascali""",0
3903,"""Charles J. G. Brindamour""","""Mirko Bibic""",13
3904,"""Charles J. G. Brindamour""","""Scott Carlyle Balfour""",0
3905,"""Charles J. G. Brindamour""","""George Raymond Burns""",0
3906,"""Charles J. G. Brindamour""","""Randy V. J. Smallwood""",4
3907,"""Charles J. G. Brindamour""","""Timothy Michael Miller""",13
3908,"""Charles J. G. Brindamour""","""Eric Richer La Fleche""",0
3909,"""Charles J. G. Brindamour""","""Terrance Lloyd McKibbon""",0
3910,"""Charles J. G. Brindamour""","""Joseph M. Natale""",0
3911,"""Charles J. G. Brindamour""","""Michael Cammarata""",0
3912,"""Charles J. G. Brindamour""","""Claude Bigras""",1
3913,"""Charles J. G. Brindamour""","""Ewout R. Heersink""",0
3914,"""Charles J. G. Brindamour""","""L. Scott Thomson""",19
3915,"""Charles J. G. Brindamour""","""Pauline Dhillon""",0
3916,"""Charles J. G. Brindamour""","""David I. McKay""",1
3917,"""Charles J. G. Brindamour""","""Bradley William Corson""",0
3918,"""Charles J. G. Brindamour""","""Louis Vachon """,10
3919,"""Charles J. G. Brindamour""","""Jose E. Cil""",0
3920,"""Charles J. G. Brindamour""","""Nancy C. Southern""",1
3921,"""Charles J. G. Brindamour""","""Donald B. Kayne""",1
3922,"""Charles J. G. Brindamour""","""Peter Gerald Jan Kukielski""",0
3923,"""Charles J. G. Brindamour""","""Daniel Barclay""",0
3924,"""Charles J. G. Brindamour""","""Trevor English""",0
3925,"""Charles J. G. Brindamour""","""Zoran Stakic""",0
3926,"""Charles J. G. Brindamour""","""Alain Bouchard""",8
3927,"""Charles J. G. Brindamour""","""Frank Patrick D'Eramo""",0
3928,"""Charles J. G. Brindamour""","""Donald M. Jenkins""",0
3929,"""Charles J. G. Brindamour""","""Madhu Ranganathan""",9
3930,"""Charles J. G. Brindamour""","""Richard Lord""",1
3931,"""Charles J. G. Brindamour""","""Anil Wadhwani""",0
3932,"""Charles J. G. Brindamour""","""Kevan S. Gorrie""",0
3933,"""Charles J. G. Brindamour""","""Ian L. Edwards""",2
3934,"""Charles J. G. Brindamour""","""Martin Schwartz""",1
3935,"""Charles J. G. Brindamour""","""Jeffrey Schwartz""",1
3936,"""Charles J. G. Brindamour""","""Jeff Segel""",1
3937,"""Charles J. G. Brindamour""","""Jay A. Forbes""",0
3938,"""Charles J. G. Brindamour""","""Thomas J. Appio""",0
3939,"""Charles J. G. Brindamour""","""Michael Steinmann""",4
3940,"""Charles J. G. Brindamour""","""Simon David Harrison""",0
3941,"""Charles J. G. Brindamour""","""Siegfried W. Kiefer""",0
3942,"""Charles J. G. Brindamour""","""Timothy Alexander Miller""",0
3943,"""Charles J. G. Brindamour""","""Christopher Allan Govan""",0
3944,"""Charles J. G. Brindamour""","""Victor G. Dodig""",1540
3945,"""Charles J. G. Brindamour""","""Paul S. Herendeen""",0
3946,"""Charles J. G. Brindamour""","""Mark Kenney""",4
3947,"""Charles J. G. Brindamour""","""Geert Verellen""",0
3948,"""Charles J. G. Brindamour""","""Ian M. Fillinger""",2
3949,"""Charles J. G. Brindamour""","""Robert P. Wildeboer""",0
3950,"""Charles J. G. Brindamour""","""Worthing F. Jackman""",9
3951,"""Charles J. G. Brindamour""","""Richard Dufresne""",0
3952,"""Charles J. G. Brindamour""","""Paul McAleese""",0
3953,"""Charles J. G. Brindamour""","""Joseph D. Randell""",1
3954,"""Charles J. G. Brindamour""","""Marc Parent""",15
3955,"""Charles J. G. Brindamour""","""Stephen Elias Loukas""",0
3956,"""Charles J. G. Brindamour""","""Geoffrey Robillard""",0
3957,"""Charles J. G. Brindamour""","""Brian Tellef Vaasjo""",0
3958,"""Charles J. G. Brindamour""","""Thomas J. Hofstedter""",4
3959,"""Anthony Munk""","""Jean-Guy Desjardins""",0
3960,"""Anthony Munk""","""Jeffrey Robert Carney""",0
3961,"""Anthony Munk""","""Francois Olivier""",8
3962,"""Anthony Munk""","""Randall L. Crawford""",0
3963,"""Anthony Munk""","""Kevin Andrew McCreadie""",0
3964,"""Anthony Munk""","""Damon Murchison""",0
3965,"""Anthony Munk""","""Alan Schwartz""",6
3966,"""Anthony Munk""","""Neil Rossy""",10
3967,"""Anthony Munk""","""Ann M. Fandozzi""",0
3968,"""Anthony Munk""","""Glenn J. Chamandy""",9
3969,"""Anthony Munk""","""John S. Chen""",22
3970,"""Anthony Munk""","""Galen G. Weston""",10
3971,"""Anthony Munk""","""Gary Berman""",0
3972,"""Anthony Munk""","""Daniel Racine""",0
3973,"""Anthony Munk""","""Michael H. McCain""",15
3974,"""Anthony Munk""","""Peter F. Grosskopf""",0
3975,"""Anthony Munk""","""David Eric Klein""",0
3976,"""Anthony Munk""","""W. Whitney George""",1
3977,"""Anthony Munk""","""Brian Johnston Porter""",0
3978,"""Anthony Munk""","""Graham Patrick Shuttleworth""",0
3979,"""Anthony Munk""","""William Darryl White""",0
3980,"""Anthony Munk""","""Stephen Clarkson Peacher""",0
3981,"""Anthony Munk""","""Derek Neldner""",0
3982,"""Anthony Munk""","""Bharat B. Masrani""",16
3983,"""Anthony Munk""","""Kevin J. Thomson""",10
3984,"""Anthony Munk""","""David Gerard Hutchens""",0
3985,"""Anthony Munk""","""Luc Mongeau""",0
3986,"""Anthony Munk""","""Michael J. Cooper""",11
3987,"""Anthony Munk""","""Steven R. Spaulding""",0
3988,"""Anthony Munk""","""Navjeet Singh Dhillon""",0
3989,"""Anthony Munk""","""Laurent Ferreira""",0
3990,"""Anthony Munk""","""Photis Peter Pascali""",0
3991,"""Anthony Munk""","""Mirko Bibic""",0
3992,"""Anthony Munk""","""Scott Carlyle Balfour""",0
3993,"""Anthony Munk""","""George Raymond Burns""",0
3994,"""Anthony Munk""","""Randy V. J. Smallwood""",14
3995,"""Anthony Munk""","""Timothy Michael Miller""",0
3996,"""Anthony Munk""","""Eric Richer La Fleche""",0
3997,"""Anthony Munk""","""Terrance Lloyd McKibbon""",0
3998,"""Anthony Munk""","""Joseph M. Natale""",3
3999,"""Anthony Munk""","""Michael Cammarata""",0
4000,"""Anthony Munk""","""Claude Bigras""",0
4001,"""Anthony Munk""","""Ewout R. Heersink""",63
4002,"""Anthony Munk""","""L. Scott Thomson""",13
4003,"""Anthony Munk""","""Pauline Dhillon""",1
4004,"""Anthony Munk""","""David I. McKay""",11
4005,"""Anthony Munk""","""Bradley William Corson""",0
4006,"""Anthony Munk""","""Louis Vachon """,10
4007,"""Anthony Munk""","""Jose E. Cil""",1
4008,"""Anthony Munk""","""Nancy C. Southern""",7
4009,"""Anthony Munk""","""Donald B. Kayne""",0
4010,"""Anthony Munk""","""Peter Gerald Jan Kukielski""",0
4011,"""Anthony Munk""","""Daniel Barclay""",0
4012,"""Anthony Munk""","""Trevor English""",1
4013,"""Anthony Munk""","""Zoran Stakic""",0
4014,"""Anthony Munk""","""Alain Bouchard""",11
4015,"""Anthony Munk""","""Frank Patrick D'Eramo""",0
4016,"""Anthony Munk""","""Donald M. Jenkins""",0
4017,"""Anthony Munk""","""Madhu Ranganathan""",5
4018,"""Anthony Munk""","""Richard Lord""",1
4019,"""Anthony Munk""","""Anil Wadhwani""",1
4020,"""Anthony Munk""","""Kevan S. Gorrie""",0
4021,"""Anthony Munk""","""Ian L. Edwards""",0
4022,"""Anthony Munk""","""Martin Schwartz""",5
4023,"""Anthony Munk""","""Jeffrey Schwartz""",8
4024,"""Anthony Munk""","""Jeff Segel""",2
4025,"""Anthony Munk""","""Jay A. Forbes""",3
4026,"""Anthony Munk""","""Thomas J. Appio""",0
4027,"""Anthony Munk""","""Michael Steinmann""",5
4028,"""Anthony Munk""","""Simon David Harrison""",0
4029,"""Anthony Munk""","""Siegfried W. Kiefer""",0
4030,"""Anthony Munk""","""Timothy Alexander Miller""",0
4031,"""Anthony Munk""","""Christopher Allan Govan""",23
4032,"""Anthony Munk""","""Victor G. Dodig""",13
4033,"""Anthony Munk""","""Paul S. Herendeen""",0
4034,"""Anthony Munk""","""Mark Kenney""",1
4035,"""Anthony Munk""","""Geert Verellen""",0
4036,"""Anthony Munk""","""Ian M. Fillinger""",0
4037,"""Anthony Munk""","""Robert P. Wildeboer""",2
4038,"""Anthony Munk""","""Worthing F. Jackman""",13
4039,"""Anthony Munk""","""Richard Dufresne""",0
4040,"""Anthony Munk""","""Paul McAleese""",0
4041,"""Anthony Munk""","""Joseph D. Randell""",3
4042,"""Anthony Munk""","""Marc Parent""",15
4043,"""Anthony Munk""","""Stephen Elias Loukas""",0
4044,"""Anthony Munk""","""Geoffrey Robillard""",0
4045,"""Anthony Munk""","""Brian Tellef Vaasjo""",0
4046,"""Anthony Munk""","""Thomas J. Hofstedter""",11
4047,"""Jean-Guy Desjardins""","""Jeffrey Robert Carney""",0
4048,"""Jean-Guy Desjardins""","""Francois Olivier""",31
4049,"""Jean-Guy Desjardins""","""Randall L. Crawford""",0
4050,"""Jean-Guy Desjardins""","""Kevin Andrew McCreadie""",0
4051,"""Jean-Guy Desjardins""","""Damon Murchison""",0
4052,"""Jean-Guy Desjardins""","""Alan Schwartz""",3
4053,"""Jean-Guy Desjardins""","""Neil Rossy""",3
4054,"""Jean-Guy Desjardins""","""Ann M. Fandozzi""",0
4055,"""Jean-Guy Desjardins""","""Glenn J. Chamandy""",5
4056,"""Jean-Guy Desjardins""","""John S. Chen""",2
4057,"""Jean-Guy Desjardins""","""Galen G. Weston""",2
4058,"""Jean-Guy Desjardins""","""Gary Berman""",0
4059,"""Jean-Guy Desjardins""","""Daniel Racine""",2
4060,"""Jean-Guy Desjardins""","""Michael H. McCain""",0
4061,"""Jean-Guy Desjardins""","""Peter F. Grosskopf""",0
4062,"""Jean-Guy Desjardins""","""David Eric Klein""",0
4063,"""Jean-Guy Desjardins""","""W. Whitney George""",0
4064,"""Jean-Guy Desjardins""","""Brian Johnston Porter""",0
4065,"""Jean-Guy Desjardins""","""Graham Patrick Shuttleworth""",0
4066,"""Jean-Guy Desjardins""","""William Darryl White""",0
4067,"""Jean-Guy Desjardins""","""Stephen Clarkson Peacher""",0
4068,"""Jean-Guy Desjardins""","""Derek Neldner""",2
4069,"""Jean-Guy Desjardins""","""Bharat B. Masrani""",1
4070,"""Jean-Guy Desjardins""","""Kevin J. Thomson""",0
4071,"""Jean-Guy Desjardins""","""David Gerard Hutchens""",0
4072,"""Jean-Guy Desjardins""","""Luc Mongeau""",2
4073,"""Jean-Guy Desjardins""","""Michael J. Cooper""",0
4074,"""Jean-Guy Desjardins""","""Steven R. Spaulding""",0
4075,"""Jean-Guy Desjardins""","""Navjeet Singh Dhillon""",0
4076,"""Jean-Guy Desjardins""","""Laurent Ferreira""",19
4077,"""Jean-Guy Desjardins""","""Photis Peter Pascali""",0
4078,"""Jean-Guy Desjardins""","""Mirko Bibic""",1
4079,"""Jean-Guy Desjardins""","""Scott Carlyle Balfour""",0
4080,"""Jean-Guy Desjardins""","""George Raymond Burns""",0
4081,"""Jean-Guy Desjardins""","""Randy V. J. Smallwood""",0
4082,"""Jean-Guy Desjardins""","""Timothy Michael Miller""",0
4083,"""Jean-Guy Desjardins""","""Eric Richer La Fleche""",9
4084,"""Jean-Guy Desjardins""","""Terrance Lloyd McKibbon""",0
4085,"""Jean-Guy Desjardins""","""Joseph M. Natale""",0
4086,"""Jean-Guy Desjardins""","""Michael Cammarata""",0
4087,"""Jean-Guy Desjardins""","""Claude Bigras""",5
4088,"""Jean-Guy Desjardins""","""Ewout R. Heersink""",0
4089,"""Jean-Guy Desjardins""","""L. Scott Thomson""",0
4090,"""Jean-Guy Desjardins""","""Pauline Dhillon""",0
4091,"""Jean-Guy Desjardins""","""David I. McKay""",0
4092,"""Jean-Guy Desjardins""","""Bradley William Corson""",0
4093,"""Jean-Guy Desjardins""","""Louis Vachon """,1410
4094,"""Jean-Guy Desjardins""","""Jose E. Cil""",0
4095,"""Jean-Guy Desjardins""","""Nancy C. Southern""",0
4096,"""Jean-Guy Desjardins""","""Donald B. Kayne""",0
4097,"""Jean-Guy Desjardins""","""Peter Gerald Jan Kukielski""",0
4098,"""Jean-Guy Desjardins""","""Daniel Barclay""",0
4099,"""Jean-Guy Desjardins""","""Trevor English""",0
4100,"""Jean-Guy Desjardins""","""Zoran Stakic""",0
4101,"""Jean-Guy Desjardins""","""Alain Bouchard""",37
4102,"""Jean-Guy Desjardins""","""Frank Patrick D'Eramo""",0
4103,"""Jean-Guy Desjardins""","""Donald M. Jenkins""",0
4104,"""Jean-Guy Desjardins""","""Madhu Ranganathan""",0
4105,"""Jean-Guy Desjardins""","""Richard Lord""",14
4106,"""Jean-Guy Desjardins""","""Anil Wadhwani""",0
4107,"""Jean-Guy Desjardins""","""Kevan S. Gorrie""",0
4108,"""Jean-Guy Desjardins""","""Ian L. Edwards""",0
4109,"""Jean-Guy Desjardins""","""Martin Schwartz""",9
4110,"""Jean-Guy Desjardins""","""Jeffrey Schwartz""",3
4111,"""Jean-Guy Desjardins""","""Jeff Segel""",2
4112,"""Jean-Guy Desjardins""","""Jay A. Forbes""",0
4113,"""Jean-Guy Desjardins""","""Thomas J. Appio""",0
4114,"""Jean-Guy Desjardins""","""Michael Steinmann""",0
4115,"""Jean-Guy Desjardins""","""Simon David Harrison""",0
4116,"""Jean-Guy Desjardins""","""Siegfried W. Kiefer""",0
4117,"""Jean-Guy Desjardins""","""Timothy Alexander Miller""",0
4118,"""Jean-Guy Desjardins""","""Christopher Allan Govan""",0
4119,"""Jean-Guy Desjardins""","""Victor G. Dodig""",0
4120,"""Jean-Guy Desjardins""","""Paul S. Herendeen""",0
4121,"""Jean-Guy Desjardins""","""Mark Kenney""",0
4122,"""Jean-Guy Desjardins""","""Geert Verellen""",0
4123,"""Jean-Guy Desjardins""","""Ian M. Fillinger""",0
4124,"""Jean-Guy Desjardins""","""Robert P. Wildeboer""",0
4125,"""Jean-Guy Desjardins""","""Worthing F. Jackman""",3
4126,"""Jean-Guy Desjardins""","""Richard Dufresne""",2
4127,"""Jean-Guy Desjardins""","""Paul McAleese""",0
4128,"""Jean-Guy Desjardins""","""Joseph D. Randell""",0
4129,"""Jean-Guy Desjardins""","""Marc Parent""",17
4130,"""Jean-Guy Desjardins""","""Stephen Elias Loukas""",0
4131,"""Jean-Guy Desjardins""","""Geoffrey Robillard""",1
4132,"""Jean-Guy Desjardins""","""Brian Tellef Vaasjo""",0
4133,"""Jean-Guy Desjardins""","""Thomas J. Hofstedter""",0
4134,"""Jeffrey Robert Carney""","""Francois Olivier""",0
4135,"""Jeffrey Robert Carney""","""Randall L. Crawford""",0
4136,"""Jeffrey Robert Carney""","""Kevin Andrew McCreadie""",0
4137,"""Jeffrey Robert Carney""","""Damon Murchison""",8
4138,"""Jeffrey Robert Carney""","""Alan Schwartz""",0
4139,"""Jeffrey Robert Carney""","""Neil Rossy""",0
4140,"""Jeffrey Robert Carney""","""Ann M. Fandozzi""",0
4141,"""Jeffrey Robert Carney""","""Glenn J. Chamandy""",0
4142,"""Jeffrey Robert Carney""","""John S. Chen""",0
4143,"""Jeffrey Robert Carney""","""Galen G. Weston""",0
4144,"""Jeffrey Robert Carney""","""Gary Berman""",0
4145,"""Jeffrey Robert Carney""","""Daniel Racine""",0
4146,"""Jeffrey Robert Carney""","""Michael H. McCain""",0
4147,"""Jeffrey Robert Carney""","""Peter F. Grosskopf""",0
4148,"""Jeffrey Robert Carney""","""David Eric Klein""",0
4149,"""Jeffrey Robert Carney""","""W. Whitney George""",0
4150,"""Jeffrey Robert Carney""","""Brian Johnston Porter""",0
4151,"""Jeffrey Robert Carney""","""Graham Patrick Shuttleworth""",0
4152,"""Jeffrey Robert Carney""","""William Darryl White""",0
4153,"""Jeffrey Robert Carney""","""Stephen Clarkson Peacher""",0
4154,"""Jeffrey Robert Carney""","""Derek Neldner""",0
4155,"""Jeffrey Robert Carney""","""Bharat B. Masrani""",0
4156,"""Jeffrey Robert Carney""","""Kevin J. Thomson""",0
4157,"""Jeffrey Robert Carney""","""David Gerard Hutchens""",0
4158,"""Jeffrey Robert Carney""","""Luc Mongeau""",0
4159,"""Jeffrey Robert Carney""","""Michael J. Cooper""",0
4160,"""Jeffrey Robert Carney""","""Steven R. Spaulding""",0
4161,"""Jeffrey Robert Carney""","""Navjeet Singh Dhillon""",0
4162,"""Jeffrey Robert Carney""","""Laurent Ferreira""",0
4163,"""Jeffrey Robert Carney""","""Photis Peter Pascali""",0
4164,"""Jeffrey Robert Carney""","""Mirko Bibic""",0
4165,"""Jeffrey Robert Carney""","""Scott Carlyle Balfour""",0
4166,"""Jeffrey Robert Carney""","""George Raymond Burns""",0
4167,"""Jeffrey Robert Carney""","""Randy V. J. Smallwood""",0
4168,"""Jeffrey Robert Carney""","""Timothy Michael Miller""",0
4169,"""Jeffrey Robert Carney""","""Eric Richer La Fleche""",0
4170,"""Jeffrey Robert Carney""","""Terrance Lloyd McKibbon""",0
4171,"""Jeffrey Robert Carney""","""Joseph M. Natale""",0
4172,"""Jeffrey Robert Carney""","""Michael Cammarata""",0
4173,"""Jeffrey Robert Carney""","""Claude Bigras""",0
4174,"""Jeffrey Robert Carney""","""Ewout R. Heersink""",0
4175,"""Jeffrey Robert Carney""","""L. Scott Thomson""",0
4176,"""Jeffrey Robert Carney""","""Pauline Dhillon""",0
4177,"""Jeffrey Robert Carney""","""David I. McKay""",0
4178,"""Jeffrey Robert Carney""","""Bradley William Corson""",0
4179,"""Jeffrey Robert Carney""","""Louis Vachon """,0
4180,"""Jeffrey Robert Carney""","""Jose E. Cil""",0
4181,"""Jeffrey Robert Carney""","""Nancy C. Southern""",0
4182,"""Jeffrey Robert Carney""","""Donald B. Kayne""",0
4183,"""Jeffrey Robert Carney""","""Peter Gerald Jan Kukielski""",0
4184,"""Jeffrey Robert Carney""","""Daniel Barclay""",0
4185,"""Jeffrey Robert Carney""","""Trevor English""",0
4186,"""Jeffrey Robert Carney""","""Zoran Stakic""",0
4187,"""Jeffrey Robert Carney""","""Alain Bouchard""",0
4188,"""Jeffrey Robert Carney""","""Frank Patrick D'Eramo""",0
4189,"""Jeffrey Robert Carney""","""Donald M. Jenkins""",0
4190,"""Jeffrey Robert Carney""","""Madhu Ranganathan""",0
4191,"""Jeffrey Robert Carney""","""Richard Lord""",0
4192,"""Jeffrey Robert Carney""","""Anil Wadhwani""",0
4193,"""Jeffrey Robert Carney""","""Kevan S. Gorrie""",0
4194,"""Jeffrey Robert Carney""","""Ian L. Edwards""",0
4195,"""Jeffrey Robert Carney""","""Martin Schwartz""",0
4196,"""Jeffrey Robert Carney""","""Jeffrey Schwartz""",0
4197,"""Jeffrey Robert Carney""","""Jeff Segel""",0
4198,"""Jeffrey Robert Carney""","""Jay A. Forbes""",0
4199,"""Jeffrey Robert Carney""","""Thomas J. Appio""",0
4200,"""Jeffrey Robert Carney""","""Michael Steinmann""",0
4201,"""Jeffrey Robert Carney""","""Simon David Harrison""",0
4202,"""Jeffrey Robert Carney""","""Siegfried W. Kiefer""",0
4203,"""Jeffrey Robert Carney""","""Timothy Alexander Miller""",0
4204,"""Jeffrey Robert Carney""","""Christopher Allan Govan""",0
4205,"""Jeffrey Robert Carney""","""Victor G. Dodig""",0
4206,"""Jeffrey Robert Carney""","""Paul S. Herendeen""",0
4207,"""Jeffrey Robert Carney""","""Mark Kenney""",0
4208,"""Jeffrey Robert Carney""","""Geert Verellen""",0
4209,"""Jeffrey Robert Carney""","""Ian M. Fillinger""",0
4210,"""Jeffrey Robert Carney""","""Robert P. Wildeboer""",0
4211,"""Jeffrey Robert Carney""","""Worthing F. Jackman""",0
4212,"""Jeffrey Robert Carney""","""Richard Dufresne""",0
4213,"""Jeffrey Robert Carney""","""Paul McAleese""",0
4214,"""Jeffrey Robert Carney""","""Joseph D. Randell""",0
4215,"""Jeffrey Robert Carney""","""Marc Parent""",0
4216,"""Jeffrey Robert Carney""","""Stephen Elias Loukas""",0
4217,"""Jeffrey Robert Carney""","""Geoffrey Robillard""",0
4218,"""Jeffrey Robert Carney""","""Brian Tellef Vaasjo""",0
4219,"""Jeffrey Robert Carney""","""Thomas J. Hofstedter""",0
4220,"""Francois Olivier""","""Randall L. Crawford""",4
4221,"""Francois Olivier""","""Kevin Andrew McCreadie""",0
4222,"""Francois Olivier""","""Damon Murchison""",0
4223,"""Francois Olivier""","""Alan Schwartz""",7
4224,"""Francois Olivier""","""Neil Rossy""",22
4225,"""Francois Olivier""","""Ann M. Fandozzi""",0
4226,"""Francois Olivier""","""Glenn J. Chamandy""",23
4227,"""Francois Olivier""","""John S. Chen""",5
4228,"""Francois Olivier""","""Galen G. Weston""",29
4229,"""Francois Olivier""","""Gary Berman""",7
4230,"""Francois Olivier""","""Daniel Racine""",9
4231,"""Francois Olivier""","""Michael H. McCain""",21
4232,"""Francois Olivier""","""Peter F. Grosskopf""",0
4233,"""Francois Olivier""","""David Eric Klein""",0
4234,"""Francois Olivier""","""W. Whitney George""",0
4235,"""Francois Olivier""","""Brian Johnston Porter""",0
4236,"""Francois Olivier""","""Graham Patrick Shuttleworth""",0
4237,"""Francois Olivier""","""William Darryl White""",0
4238,"""Francois Olivier""","""Stephen Clarkson Peacher""",0
4239,"""Francois Olivier""","""Derek Neldner""",0
4240,"""Francois Olivier""","""Bharat B. Masrani""",32
4241,"""Francois Olivier""","""Kevin J. Thomson""",0
4242,"""Francois Olivier""","""David Gerard Hutchens""",0
4243,"""Francois Olivier""","""Luc Mongeau""",2
4244,"""Francois Olivier""","""Michael J. Cooper""",7
4245,"""Francois Olivier""","""Steven R. Spaulding""",6
4246,"""Francois Olivier""","""Navjeet Singh Dhillon""",0
4247,"""Francois Olivier""","""Laurent Ferreira""",10
4248,"""Francois Olivier""","""Photis Peter Pascali""",0
4249,"""Francois Olivier""","""Mirko Bibic""",7
4250,"""Francois Olivier""","""Scott Carlyle Balfour""",0
4251,"""Francois Olivier""","""George Raymond Burns""",0
4252,"""Francois Olivier""","""Randy V. J. Smallwood""",6
4253,"""Francois Olivier""","""Timothy Michael Miller""",0
4254,"""Francois Olivier""","""Eric Richer La Fleche""",5
4255,"""Francois Olivier""","""Terrance Lloyd McKibbon""",0
4256,"""Francois Olivier""","""Joseph M. Natale""",2
4257,"""Francois Olivier""","""Michael Cammarata""",2
4258,"""Francois Olivier""","""Claude Bigras""",12
4259,"""Francois Olivier""","""Ewout R. Heersink""",0
4260,"""Francois Olivier""","""L. Scott Thomson""",23
4261,"""Francois Olivier""","""Pauline Dhillon""",0
4262,"""Francois Olivier""","""David I. McKay""",2
4263,"""Francois Olivier""","""Bradley William Corson""",0
4264,"""Francois Olivier""","""Louis Vachon """,69
4265,"""Francois Olivier""","""Jose E. Cil""",0
4266,"""Francois Olivier""","""Nancy C. Southern""",2
4267,"""Francois Olivier""","""Donald B. Kayne""",5
4268,"""Francois Olivier""","""Peter Gerald Jan Kukielski""",0
4269,"""Francois Olivier""","""Daniel Barclay""",8
4270,"""Francois Olivier""","""Trevor English""",0
4271,"""Francois Olivier""","""Zoran Stakic""",0
4272,"""Francois Olivier""","""Alain Bouchard""",54300
4273,"""Francois Olivier""","""Frank Patrick D'Eramo""",0
4274,"""Francois Olivier""","""Donald M. Jenkins""",0
4275,"""Francois Olivier""","""Madhu Ranganathan""",6
4276,"""Francois Olivier""","""Richard Lord""",25
4277,"""Francois Olivier""","""Anil Wadhwani""",0
4278,"""Francois Olivier""","""Kevan S. Gorrie""",1
4279,"""Francois Olivier""","""Ian L. Edwards""",7
4280,"""Francois Olivier""","""Martin Schwartz""",19
4281,"""Francois Olivier""","""Jeffrey Schwartz""",7
4282,"""Francois Olivier""","""Jeff Segel""",4
4283,"""Francois Olivier""","""Jay A. Forbes""",0
4284,"""Francois Olivier""","""Thomas J. Appio""",0
4285,"""Francois Olivier""","""Michael Steinmann""",7
4286,"""Francois Olivier""","""Simon David Harrison""",0
4287,"""Francois Olivier""","""Siegfried W. Kiefer""",0
4288,"""Francois Olivier""","""Timothy Alexander Miller""",0
4289,"""Francois Olivier""","""Christopher Allan Govan""",0
4290,"""Francois Olivier""","""Victor G. Dodig""",24
4291,"""Francois Olivier""","""Paul S. Herendeen""",0
4292,"""Francois Olivier""","""Mark Kenney""",10
4293,"""Francois Olivier""","""Geert Verellen""",0
4294,"""Francois Olivier""","""Ian M. Fillinger""",1
4295,"""Francois Olivier""","""Robert P. Wildeboer""",1
4296,"""Francois Olivier""","""Worthing F. Jackman""",7
4297,"""Francois Olivier""","""Richard Dufresne""",2
4298,"""Francois Olivier""","""Paul McAleese""",0
4299,"""Francois Olivier""","""Joseph D. Randell""",2
4300,"""Francois Olivier""","""Marc Parent""",22900
4301,"""Francois Olivier""","""Stephen Elias Loukas""",0
4302,"""Francois Olivier""","""Geoffrey Robillard""",0
4303,"""Francois Olivier""","""Brian Tellef Vaasjo""",0
4304,"""Francois Olivier""","""Thomas J. Hofstedter""",7
4305,"""Randall L. Crawford""","""Kevin Andrew McCreadie""",0
4306,"""Randall L. Crawford""","""Damon Murchison""",0
4307,"""Randall L. Crawford""","""Alan Schwartz""",1
4308,"""Randall L. Crawford""","""Neil Rossy""",3
4309,"""Randall L. Crawford""","""Ann M. Fandozzi""",0
4310,"""Randall L. Crawford""","""Glenn J. Chamandy""",2
4311,"""Randall L. Crawford""","""John S. Chen""",0
4312,"""Randall L. Crawford""","""Galen G. Weston""",6
4313,"""Randall L. Crawford""","""Gary Berman""",1
4314,"""Randall L. Crawford""","""Daniel Racine""",1
4315,"""Randall L. Crawford""","""Michael H. McCain""",3
4316,"""Randall L. Crawford""","""Peter F. Grosskopf""",0
4317,"""Randall L. Crawford""","""David Eric Klein""",0
4318,"""Randall L. Crawford""","""W. Whitney George""",0
4319,"""Randall L. Crawford""","""Brian Johnston Porter""",0
4320,"""Randall L. Crawford""","""Graham Patrick Shuttleworth""",0
4321,"""Randall L. Crawford""","""William Darryl White""",0
4322,"""Randall L. Crawford""","""Stephen Clarkson Peacher""",0
4323,"""Randall L. Crawford""","""Derek Neldner""",0
4324,"""Randall L. Crawford""","""Bharat B. Masrani""",3
4325,"""Randall L. Crawford""","""Kevin J. Thomson""",0
4326,"""Randall L. Crawford""","""David Gerard Hutchens""",0
4327,"""Randall L. Crawford""","""Luc Mongeau""",0
4328,"""Randall L. Crawford""","""Michael J. Cooper""",2
4329,"""Randall L. Crawford""","""Steven R. Spaulding""",4
4330,"""Randall L. Crawford""","""Navjeet Singh Dhillon""",0
4331,"""Randall L. Crawford""","""Laurent Ferreira""",1
4332,"""Randall L. Crawford""","""Photis Peter Pascali""",0
4333,"""Randall L. Crawford""","""Mirko Bibic""",4
4334,"""Randall L. Crawford""","""Scott Carlyle Balfour""",0
4335,"""Randall L. Crawford""","""George Raymond Burns""",0
4336,"""Randall L. Crawford""","""Randy V. J. Smallwood""",3
4337,"""Randall L. Crawford""","""Timothy Michael Miller""",0
4338,"""Randall L. Crawford""","""Eric Richer La Fleche""",0
4339,"""Randall L. Crawford""","""Terrance Lloyd McKibbon""",0
4340,"""Randall L. Crawford""","""Joseph M. Natale""",0
4341,"""Randall L. Crawford""","""Michael Cammarata""",0
4342,"""Randall L. Crawford""","""Claude Bigras""",1
4343,"""Randall L. Crawford""","""Ewout R. Heersink""",0
4344,"""Randall L. Crawford""","""L. Scott Thomson""",3
4345,"""Randall L. Crawford""","""Pauline Dhillon""",0
4346,"""Randall L. Crawford""","""David I. McKay""",0
